"station","region","state","station_code","first date","height","longitude","latitude"
QUEIMADAS,NE,BA,A436,"2008-05-23",315.0,-39.61694443,-10.984645
MACAU,NE,RN,A317,"2007-01-06",32.0,-36.57305554,-5.15111111
SAQUAREMA - SAMPAIO CORREIA,SE,RJ,A667,"2019-01-01",26.0,-42.60888888,-22.8711111
SANTANA DO LIVRAMENTO,S,RS,A804,"2001-11-22",328.0,-55.40138888,-30.75055555
VILA VELHA,SE,ES,A634,"2017-02-15",25.0,-40.40388888,-20.46694443
GOVERNADOR VALADARES,SE,MG,A532,"2007-05-27",214.0,-41.97666666,-18.83027777
CABROBO,NE,PE,A329,"2007-09-04",342.74,-39.31388888,-8.50305555
OURO BRANCO,SE,MG,A513,"2006-07-28",1061.0,-43.75611111,-20.54583333
BAURU,SE,SP,A705,"2001-08-30",666.0,-49.028877,-22.358052
DIAMANTINA,SE,MG,A537,"2007-06-05",1359.25,-43.64805555,-18.231052
SANTIAGO,S,RS,A833,"2009-02-04",394.0,-54.88555555,-29.19138888
FEIRA DE SANTANA,NE,BA,A413,"2007-05-26",231.0,-38.96722221,-12.19583333
ILHA DO MEL,S,PR,A847,"2007-03-23",1.0,-48.32583332,-25.49444444
CACHOEIRA PAULISTA,SE,SP,A769,"2017-10-20",586.0,-45.005444,-22.68888888
CORRENTE,NE,PI,A374,"2018-03-28",452.0,-45.17305554,-10.42916666
SAO SIMAO,CO,GO,A011,"2006-07-15",492.45,-50.61666666,-18.96666666
SAPEZAL,CO,MT,A911,"2017-10-20",105.0,-58.76333333,-10.16583333
APUI,N,AM,A113,"2008-07-19",160.0,-59.888561,-7.205475
CAIAPONIA,CO,GO,A023,"2007-05-21",740.1,-51.81749999,-16.96666666
SAO LUIS DO QUITUNDE,NE,AL,A356,"2008-09-08",19.0,-35.56583333,-9.287481
FRANCA,SE,SP,A708,"2002-12-12",1026.0,-47.37999999,-20.57999999
PEF YAUARETE,N,AM,S115,"2016-12-01",-9999.0,-69.19194444,0.59944444
PICOS,NE,PI,A343,"2008-12-12",233.0,-41.40416666,-7.07083332
DRACENA,SE,SP,A762,"2016-11-03",720.0,-51.55222222,-21.457699
IVAI,S,PR,A818,"2006-07-11",808.0,-50.853853,-25.010757
RONDONOPOLIS,CO,MT,A907,"2003-11-17",289.88,-54.56666666,-16.45
SAO VICENTE DO SUL,S,RS,A889,"2016-04-06",134.0,-54.69416666,-29.70194444
TEOFILO OTONI,SE,MG,A527,"2006-08-25",475.0,-41.515423,-17.89284
FAROL de SANTANA,NE,MA,A217,"2008-11-28",9.87,-43.62388888,-2.270811
LAGES,S,SC,A865,"2014-11-06",955.0,-50.335457,-27.80222222
ITUVERAVA,SE,SP,A753,"2008-07-17",610.58,-47.77499999,-20.35944444
NOVO HORIZONTE,S,SC,A816,"2008-09-20",960.0,-52.85027777,-26.40638888
PIUM,N,TO,A051,"2016-04-06",161.0,-49.62944443,-10.476944
ALEGRETE,S,RS,A826,"2006-09-28",121.0,-55.525486,-29.709083
COLINAS,NE,MA,A222,"2008-06-03",179.0,-44.23333333,-6.03305554
SACRAMENTO,SE,MG,A525,"2006-08-19",913.12,-47.434102,-19.875271
CAPAO DO LEAO (PELOTAS),S,RS,A887,"2019-07-18",13.0,-52.40722222,-31.8025
SANTA MARIA MADALENA,SE,RJ,A630,"2018-10-16",517.0,-42.01027777,-21.95055555
AQUIDAUANA,CO,MS,A719,"2006-11-01",155.0,-55.78388888,-20.47555554
PATOS,NE,PB,A321,"2007-07-21",263.66,-37.27249999,-7.07972221
TORRES,S,RS,A808,"2006-06-01",8.44,-49.73305554,-29.35027777
TIANGUA,NE,CE,A368,"2018-03-15",756.0,-41.011881,-3.732169
FORTE PRINCIPE,N,RO,S101,"2016-12-01",-9999.0,-64.41999999,-12.42999999
